Unique_client_ID,Race/Ethnicity,Gender,Age_group_at_assessment,TOTAL_SCORE,Housing_destination,is_perm_housed,Gender_Female,Race_Black,Race_Latino,Race_Asian,Age_Youth,Age_GenX,Age_Boomer,HISTORY_SUB_SCORE,RISKS_SUB_SCORE,SOCIALIZATION_SUB_SCORE,WELLNESS_SUB_SCORE,Housing_status,y_proba
32834,Black,Male,45-59,1,Permanently Housed,1,0,1,0,0,0,1,0,1,0,0,0,1,0.31320474
32835,Black,Female,,1,Permanently Housed,1,1,1,0,0,0,0,0,0,0,0,1,1,0.26738548
32841,Black,Female,45-59,10,Permanently Housed,1,1,1,0,0,0,1,0,2,3,0,5,1,0.25150907
32843,Black,Female,,10,Permanently Housed,1,1,1,0,0,0,0,0,2,2,3,3,1,0.17861754
32847,Black,Male,45-59,5,Permanently Housed,1,0,1,0,0,0,1,0,1,2,0,2,1,0.25979385
32849,Black,Male,45-59,12,Permanently Housed,1,0,1,0,0,0,1,0,2,3,3,4,1,0.25420195
32850,White,Male,60+,7,Permanently Housed,1,0,0,0,0,0,0,1,2,1,2,1,1,0.16010219
32854,Black,Male,45-59,12,Permanently Housed,1,0,1,0,0,0,1,0,2,1,3,5,1,0.23960644
32859,Black,Male,60+,6,Permanently Housed,1,0,1,0,0,0,0,1,1,1,2,1,1,0.28818896
32862,White,Female,45-59,16,Permanently Housed,1,1,0,0,0,0,1,0,2,4,4,6,1,0.31471866
32867,White,Male,45-59,5,Permanently Housed,1,0,0,0,0,0,1,0,2,1,1,1,1,0.12965329
32868,Latino,Male,18-24,9,Permanently Housed,1,0,0,1,0,1,0,0,2,4,1,2,1,0.10549066
32873,White,Female,60+,10,Permanently Housed,1,1,0,0,0,0,0,1,2,3,1,3,1,0.21235654
32879,White,Female,,2,Permanently Housed,1,1,0,0,0,0,0,0,1,0,1,0,1,0.23734882
32881,Black,Male,45-59,12,Permanently Housed,1,0,1,0,0,0,1,0,2,3,3,3,1,0.2590099
32883,Asian,Female,60+,3,Permanently Housed,1,1,0,0,1,0,0,1,0,0,1,1,1,0.19688052
32886,Black,Male,60+,6,Permanently Housed,1,0,1,0,0,0,0,1,2,0,2,1,1,0.24011952
32890,White,Male,,5,Permanently Housed,1,0,0,0,0,0,0,0,1,1,1,2,1,0.16822815
32894,Black,Male,18-24,5,Permanently Housed,1,0,1,0,0,1,0,0,2,1,0,2,1,0.18903866
32903,Asian,Male,18-24,10,Permanently Housed,1,0,0,0,1,1,0,0,2,3,3,2,1,0.23236622
32910,Latino,Male,45-59,5,Permanently Housed,1,0,0,1,0,0,1,0,1,1,1,2,1,0.19959056
32914,Black,Female,18-24,8,Permanently Housed,1,1,1,0,0,1,0,0,1,3,3,1,1,0.30178452
32927,Black,Male,,15,Permanently Housed,1,0,1,0,0,0,0,0,1,4,4,6,1,0.2848856
32937,Latino,Female,60+,16,Permanently Housed,1,1,0,1,0,0,0,1,1,4,4,6,1,0.47300246
32938,Latino,Female,45-59,16,Permanently Housed,1,1,0,1,0,0,1,0,2,4,4,6,1,0.32413673
32950,Black,Female,18-24,4,Permanently Housed,1,1,1,0,0,1,0,0,2,0,1,1,1,0.27958593
